District,Murder,Robbery,Theft,Total_IPC_Crime
Lalitpur,11,0,1,2109
Lucknow Commissionarate,98,0,62,16009
Maharajganj,27,0,17,5022
Mahoba,17,0,11,1102
Mainpuri,28,0,17,5126
Mathura,77,0,0,8536
Mau,21,0,5,2974
Meerut,92,0,46,9158
Mirzapur,21,0,16,2942
Moradabad,45,0,2,4013
Muzaffarnagar,44,0,0,5174
Pilibhit,35,0,35,3819
Pratapgarh,72,0,112,7894
Raibareilly,37,0,29,6381
Rampur,45,0,11,2369
Saharanpur,34,0,36,4796
Sambhal,55,0,26,4551
Sant Kabirnagar,13,0,0,3447
Shahjahanpur,40,0,44,4471
Shamli,22,0,0,2334
Shrawasti,14,0,3,1988
Sidharthnagar,14,0,0,3089
Sitapur,81,0,0,7681
Sonbhadra,40,0,12,2080
Bhadohi,18,0,10,1319
Sultanpur,50,0,164,6310
Unnao,48,0,33,5463
Varanasi Commissionarate,42,0,0,8015
Almora,4,0,0,280
Bageshwar,5,0,0,118
Chamoli,5,0,0,179
Champawat,5,0,0,234
Dehradun,32,0,6,4240
Haridwar,56,0,0,5081
Nainital,15,0,1,1633
Pauri Garhwal,3,0,0,302
Pithoragarh,9,0,0,381
Rudra Prayag,1,0,0,95
Tehri Garhwal,3,0,0,267
Udhamsingh Nagar,45,0,0,3955
Uttarkashi,0,0,0,143
GRP,0,0,0,186
Cyber Cell,0,0,0,0
Alipurduar,32,0,1,2119
Asansol-Durgapur PC,54,0,1,4568
Bankura,37,0,28,3226
Barrackpur PC,52,0,89,9539
Bidhannagar PC,25,0,17,3667
Birbhum,79,0,70,3905
Coochbehar,78,0,1,4414
Dakshin Dinajpur,43,0,23,2544
Darjeeling,21,0,4,1344
Hooghly Rural Police,37,0,14,4752
Howrah GRP,3,0,0,369
Howrah PC,27,0,19,5212
Howrah Rural,33,0,20,2798
Jalpaiguri,42,0,6,2799
Jhargram,22,0,0,1096
Kharagpur GRP,4,0,0,276
Kolkata,43,0,7,10943
Malda,71,0,2045,9801
Murshidabad Police District,131,0,1,9065
Paschim Medinipur,96,0,3,4667
Purab Medinipur,76,0,3,6747
Purulia,44,0,22,2506
Sealdah GRP,4,0,0,416
Siliguri GRP,5,0,0,267
Siliguri PC,31,0,0,4709
Baruipur Police,90,0,58,7837
Chandannagar PC,17,0,64,1988
Diamond Harbour Police,39,0,37,3648
Kalimpong,5,0,0,319
Purba Bardhaman,76,0,47,6959
Sundarban Police,46,0,0,3678
Barasat,42,0,317,5395
Basirhat,41,0,384,3586
