District,total_crime,risk_score
Golaghat,870.0,1.9388050720923495
Gomati,461.0,1.0273438370512336
Gonda,6602.0,14.712633432130682
Gondia,3294.0,7.340717135025517
Gopalganj,5287.0,11.78214070822098
Gorakhpur,15877.0,35.38207830989682
Gumla,904.0,2.0145744657143494
Guna,5822.0,12.974394401978916
Guntakal Railway,592.0,1.3192788536536448
Guntur,8059.0,17.959574799991085
Gurdaspur,873.0,1.9454906068237026
Gurugram,15863.0,35.350879147817174
Guwahati City,8263.0,18.414191161723085
Gwalior,13140.0,29.28264212332583
Gyalshing (West),39.0,0.08691195150758808
Hailakandi,1183.0,2.6363291957301715
Hamirpur,2139.5,4.767900519243198
Hamren,167.0,0.3721614333786464
Handwara,506.0,1.1276268580215274
Hansi,2044.0,4.555077663628462
Hanumangarh,5266.0,11.735341965101508
Hapur,2890.0,6.440398457869989
Harda,2366.0,5.272658391460343
Hardoi,8381.0,18.67715552782297
Haridwar,5081.0,11.323067323334744
Hassan,5163.0,11.50580527265839
Hathras,3324.0,7.407572482339046
Haveri,2519.0,5.613620662759343
Hazaribagh,4353.0,9.700710895193101
Hingoli,3874.0,8.63325384975375
Hissar,8092.0,18.03311568203597
Hnahthial,51.0,0.11365409043299979
Hojai,1291.0,2.8770084460588774
Hooghly Rural Police,4752.0,10.58988701446304
Hoshiarpur,1972.0,4.394624830075992
Howrah GRP,369.0,0.8223207719564103
Howrah PC,5212.0,11.615002339937156
Howrah Rural,2798.0,6.235375392775166
Hubballi Dharwad City,1776.0,3.957836560960934
Hyderabad Commissionerate,21774.0,48.52361108015956
IGI Airport,680.0,1.5153878724399974
Idukki,14967.0,33.354132774719766
Imphal East,3552.0,7.915673121921868
Imphal West,3897.0,8.684509616027455
Indore Commissionarate,18126.0,40.3940008468344
Indore Railway,1937.0,4.316626924876875
Indore Rural,5145.0,11.465692064270273
Intelligence Wing,9.0,0.02005660419405879
Irrigation & Power,1686.0,3.7572705190203464
Islampur,2104.0,4.688788358255521
Jabalpur,13246.0,29.5188643505003
Jabalpur Railway,3915.0,8.724622824415572
Jagatsinghpur,5168.0,11.516947830543979
Jagdalpur,1364.0,3.0396897911884655
Jagityal,3931.0,8.760279009649455
Jaintia Hills East,110.0,0.24513627348294073
Jaintia Hills West,160.0,0.3565618523388229
Jaipur Crime,19.0,0.04234171996523522
Jaipur East,9603.0,21.400396675060726
Jaipur Metro,2.0,0.004457023154235287
Jaipur North,4076.0,9.083413188331512
Jaipur Rural,4265.0,9.504601876406749
Jaipur South,8029.0,17.892719452677557
Jaipur West,8242.0,18.367392418603615
Jaisalmer,1582.0,3.5255053150001117
Jajpur,7388.0,16.464243531745147
Jalandhar Rural,1650.0,3.6770441022441114
Jalaun,3279.0,7.307289461368752
Jalgaon,8189.0,18.24928130501638
Jalna,6767.0,15.08033784235509
Jalore,1874.0,4.176230695518464
Jalpaiguri,2799.0,6.237603904352283
Jamalpur Railway,622.0,1.386134200967174
Jammu,4409.0,9.825507543511689
Jamnagar,4747.0,10.578744456577452
Jamshedpur,3220.0,7.1758072783188105
Jamshedpur Railway,206.0,0.45907338488623445
Jamtara,614.0,1.3683061083502328
Jamui,3270.0,7.2872328571746925
Jangipur Police District,2480.0,5.5267087112517554
Janjgir,3235.0,7.209234951975575
Jashpur,1290.0,2.8747799344817597
Jaunpur,6381.0,14.22013237358768
Jayashankar Bhupalpalli,1824.0,4.064805116662581
Jehanabad,2764.0,6.1596059991531655
Jhabua,4209.0,9.379805228088161
Jhajjar,3695.0,8.23435027744969
Jhalawar,4796.0,10.687941523856216
Jhansi,3800.0,8.468343993047043
Jhargram,1096.0,2.442448688520937
Jharsuguda,2923.0,6.51393933991487
Jhunjhunu,4472.0,9.9659037728701
Jind,4175.0,9.30403583446616
Jiribam,38.0,0.08468343993047044
Jodhpur Crime,10.0,0.022285115771176433
Jodhpur East,3219.0,7.173578766741693
Jodhpur Rural,2714.0,6.0481804202972835
Jodhpur West,4434.0,9.88122033293963
Jogulamba Gadwal,1303.0,2.903750584984289
Jorhat,1048.0,2.3354801328192902
Junagadh,2819.0,6.2821741358946355
KGF,836.0,1.8630356784703497
KRailways,928.0,2.0680587435651727
Kabirdham,1661.0,3.701557729592405
Kachchh East(G),2564.0,5.713903683729637
Kachchh West(B),3358.0,7.483341875961045
Kaimur(Bhabhua),3162.0,7.046553606845987
Kaithal,3367.0,7.503398480155105
Kakching,1807.0,4.026920419851581
Kakinada,4363.0,9.722996010964277
